casino,month,year,table_games_win,slot_win,total_casino_win
RESORTS CASINO HOTEL,February,2023,2561506,10085886,12647392
RESORTS CASINO HOTEL,March,2023,2821151,9838196,12659347
RESORTS CASINO HOTEL,April,2023,2134463,10309917,12444380
RESORTS CASINO HOTEL,May,2023,2533505,10913690,13447195
RESORTS CASINO HOTEL,June,2023,2919258,12287803,15207061
RESORTS CASINO HOTEL,July,2023,1394573,13819545,15214118
RESORTS CASINO HOTEL,August,2023,3175600,14425288,17600888
RESORTS CASINO HOTEL,September,2023,1774954,13162769,14937723
RESORTS CASINO HOTEL,October,2023,2185733,11113297,13299030
RESORTS CASINO HOTEL,November,2023,2184895,10313945,12498840
RESORTS CASINO HOTEL,December,2023,2633575,9845660,12479235
RESORTS CASINO HOTEL,January,2024,1997329,8950707,10948036
RESORTS CASINO HOTEL,February,2024,2153785,10043923,12197708
RESORTS CASINO HOTEL,March,2024,2143945,11260796,13404741
RESORTS CASINO HOTEL,April,2024,2390696,10063178,12453874
RESORTS CASINO HOTEL,May,2024,2131533,11474399,13605932
RESORTS CASINO HOTEL,June,2024,2344112,12560387,14904499
RESORTS CASINO HOTEL,July,2024,2628079,12875532,15503611
RESORTS CASINO HOTEL,August,2024,2038753,14054212,16092965
RESORTS CASINO HOTEL,September,2024,2653419,11704886,14358305
RESORTS CASINO HOTEL,October,2024,1784768,10286211,12070979
RESORTS CASINO HOTEL,November,2024,3597797,10374779,13972576
RESORTS CASINO HOTEL,December,2024,2577693,9788991,12366684
RESORTS CASINO HOTEL,January,2025,1967093,8772656,10739749
RESORTS CASINO HOTEL,February,2025,2082487,9299338,11381825
RESORTS CASINO HOTEL,March,2025,2365797,10715584,13081381
RESORTS CASINO HOTEL,April,2025,1918686,10255730,12174416
RESORTS CASINO HOTEL,May,2025,2037398,12603675,14641073
RESORTS CASINO HOTEL,June,2025,2013308,12542812,14556120
RESORTS CASINO HOTEL,July,2025,2743043,14081537,16824580
RESORTS CASINO HOTEL,August,2025,1500622,14643509,16144131
RESORTS CASINO HOTEL,September,2025,2279686,11290459,13570145
RESORTS CASINO HOTEL,October,2025,1812095,10910368,12722463
RESORTS CASINO HOTEL,November,2025,2049362,9968753,12018115
RESORTS CASINO HOTEL,December,2025,2327431,9683405,12010836
TROPICANA CASINO & RESORT,January,2022,3474765,10925998,14537724
TROPICANA CASINO & RESORT,February,2022,3529709,13642971,17342414
TROPICANA CASINO & RESORT,March,2022,4710947,14434254,19334230
TROPICANA CASINO & RESORT,April,2022,4300058,17948804,22428058
TROPICANA CASINO & RESORT,May,2022,4665969,16821787,21663462
TROPICANA CASINO & RESORT,June,2022,4029397,17227374,21455987
TROPICANA CASINO & RESORT,July,2022,5656037,22078805,27962688
TROPICANA CASINO & RESORT,August,2022,4560024,21081052,25854657
TROPICANA CASINO & RESORT,September,2022,4588138,18607160,23388217
TROPICANA CASINO & RESORT,October,2022,2348731,14877933,17385367
TROPICANA CASINO & RESORT,November,2022,4335371,14748444,19150379
TROPICANA CASINO & RESORT,December,2022,4316649,13853340,18272808
TROPICANA CASINO & RESORT,January,2023,3213030,12894238,16264674
TROPICANA CASINO & RESORT,February,2023,3225239,13830722,17214836
TROPICANA CASINO & RESORT,March,2023,4551385,14590907,19333383
TROPICANA CASINO & RESORT,April,2023,3830676,15481720,19501379
TROPICANA CASINO & RESORT,May,2023,5767945,15658321,21615608
TROPICANA CASINO & RESORT,June,2023,3892159,16976768,21058140
TROPICANA CASINO & RESORT,July,2023,4017556,19904613,24146255
TROPICANA CASINO & RESORT,August,2023,4739186,19772632,24706715
TROPICANA CASINO & RESORT,September,2023,4166560,17140615,21480478
TROPICANA CASINO & RESORT,October,2023,2704752,13564023,16403410
TROPICANA CASINO & RESORT,November,2023,4037990,13672487,17849228
TROPICANA CASINO & RESORT,December,2023,4654114,16151776,20974329
TROPICANA CASINO & RESORT,January,2024,2518988,10648429,13318129
TROPICANA CASINO & RESORT,February,2024,2931364,13615758,16687079
TROPICANA CASINO & RESORT,March,2024,4364404,15275108,19821497
TROPICANA CASINO & RESORT,April,2024,4416415,13150036,17702267
TROPICANA CASINO & RESORT,May,2024,4465876,15462020,20096791
TROPICANA CASINO & RESORT,June,2024,3786139,16246642,20208223
TROPICANA CASINO & RESORT,July,2024,4936918,18001136,23130064
TROPICANA CASINO & RESORT,August,2024,4508241,20232212,24941126
TROPICANA CASINO & RESORT,September,2024,2985141,14831227,17973560
TROPICANA CASINO & RESORT,October,2024,3844539,13640796,17620875
TROPICANA CASINO & RESORT,November,2024,3249114,13278753,16673197
