casino,month,year,monthly_retail_sports_win,monthly_internet_sports_win,total_sports_win
HARD ROCK ATLANTIC CITY,July,2023,31209,683250,714459
HARD ROCK ATLANTIC CITY,August,2023,89291,111528,200819
HARD ROCK ATLANTIC CITY,September,2023,62219,829839,892058
HARD ROCK ATLANTIC CITY,October,2023,39921,60048,99969
HARD ROCK ATLANTIC CITY,November,2023,5148,324799,329947
HARD ROCK ATLANTIC CITY,December,2023,51622,975580,1027202
HARD ROCK ATLANTIC CITY,January,2024,48861,4845875,4894736
HARD ROCK ATLANTIC CITY,February,2024,65282,549050,614332
HARD ROCK ATLANTIC CITY,March,2024,25090,139800,164890
HARD ROCK ATLANTIC CITY,April,2024,67089,3765372,3832461
HARD ROCK ATLANTIC CITY,May,2024,291587,922018,1213605
HARD ROCK ATLANTIC CITY,June,2024,6815,552012,558827
HARD ROCK ATLANTIC CITY,July,2024,8878,181529,190407
HARD ROCK ATLANTIC CITY,August,2024,455438,4837601,5293039
HARD ROCK ATLANTIC CITY,September,2024,81430,842999,924429
HARD ROCK ATLANTIC CITY,October,2024,315835,642392,958227
HARD ROCK ATLANTIC CITY,November,2024,94276,588665,682941
HARD ROCK ATLANTIC CITY,December,2024,88803,464921,553724
HARD ROCK ATLANTIC CITY,January,2025,9307,731769,741076
HARD ROCK ATLANTIC CITY,February,2025,378270,897934,1276204
HARD ROCK ATLANTIC CITY,March,2025,58157,645294,703451
HARD ROCK ATLANTIC CITY,April,2025,8882,90964,99846
HARD ROCK ATLANTIC CITY,May,2025,80722,54896,135618
HARD ROCK ATLANTIC CITY,June,2025,101436,501433,602869
HARD ROCK ATLANTIC CITY,July,2025,9428,160884,170312
HARD ROCK ATLANTIC CITY,August,2025,176475,6840415,7016890
HARD ROCK ATLANTIC CITY,September,2025,70403,118344,188747
HARD ROCK ATLANTIC CITY,October,2025,166688,131006,297694
HARD ROCK ATLANTIC CITY,November,2025,608701,1662621,2271322
HARD ROCK ATLANTIC CITY,December,2025,196379,776663,973042
HARD ROCK ATLANTIC CITY,,2022,9365,12186,21551
HARD ROCK ATLANTIC CITY,,2023,53599,381283,434882
HARRAH'S ATLANTIC CITY,February,2023,302540,,302540
HARRAH'S ATLANTIC CITY,February,2023,,85132,85132
HARRAH'S ATLANTIC CITY,March,2023,9993,,9993
HARRAH'S ATLANTIC CITY,April,2023,38132,,38132
HARRAH'S ATLANTIC CITY,May,2023,673,,673
HARRAH'S ATLANTIC CITY,June,2023,9356,,9356
HARRAH'S ATLANTIC CITY,July,2023,4777,,4777
HARRAH'S ATLANTIC CITY,August,2023,5361,,5361
HARRAH'S ATLANTIC CITY,September,2023,31670,,31670
HARRAH'S ATLANTIC CITY,October,2023,126187,,126187
HARRAH'S ATLANTIC CITY,October,2023,,13185,13185
HARRAH'S ATLANTIC CITY,November,2023,90125,,90125
HARRAH'S ATLANTIC CITY,November,2023,,11668,11668
HARRAH'S ATLANTIC CITY,December,2023,4426,,4426
